u,xi_pi,alpha_c,beta_c,physical
6.666666666667e-01,3.333333333333e-01,1.481481481481e-01,0.000000000000e+00,1.000000000000e+00
6.670008354219e-01,3.329991645781e-01,1.479250338784e-01,9.921163605938e-05,1.000000000000e+00
6.673350041771e-01,3.326649958229e-01,1.477012490364e-01,1.988212128755e-04,1.000000000000e+00
6.676691729323e-01,3.323308270677e-01,1.474767930624e-01,2.988296278340e-04,1.000000000000e+00
6.680033416876e-01,3.319966583124e-01,1.472516653966e-01,3.992377795191e-04,1.000000000000e+00
6.683375104428e-01,3.316624895572e-01,1.470258654793e-01,5.000465677144e-04,1.000000000000e+00
6.686716791980e-01,3.313283208020e-01,1.467993927508e-01,6.012568934037e-04,1.000000000000e+00
6.690058479532e-01,3.309941520468e-01,1.465722466512e-01,7.028696587715e-04,1.000000000000e+00
6.693400167084e-01,3.306599832916e-01,1.463444266209e-01,8.048857672040e-04,1.000000000000e+00
6.696741854637e-01,3.303258145363e-01,1.461159321001e-01,9.073061232899e-04,1.000000000000e+00
6.700083542189e-01,3.299916457811e-01,1.458867625291e-01,1.010131632821e-03,1.000000000000e+00
6.703425229741e-01,3.296574770259e-01,1.456569173481e-01,1.113363202792e-03,1.000000000000e+00
6.706766917293e-01,3.293233082707e-01,1.454263959973e-01,1.217001741404e-03,1.000000000000e+00
6.710108604845e-01,3.289891395155e-01,1.451951979172e-01,1.321048158062e-03,1.000000000000e+00
6.713450292398e-01,3.286549707602e-01,1.449633225478e-01,1.425503363377e-03,1.000000000000e+00
6.716791979950e-01,3.283208020050e-01,1.447307693295e-01,1.530368269169e-03,1.000000000000e+00
6.720133667502e-01,3.279866332498e-01,1.444975377025e-01,1.635643788463e-03,1.000000000000e+00
6.723475355054e-01,3.276524644946e-01,1.442636271070e-01,1.741330835494e-03,1.000000000000e+00
6.726817042607e-01,3.273182957393e-01,1.440290369834e-01,1.847430325705e-03,1.000000000000e+00
6.730158730159e-01,3.269841269841e-01,1.437937667718e-01,1.953943175750e-03,1.000000000000e+00
6.733500417711e-01,3.266499582289e-01,1.435578159126e-01,2.060870303493e-03,1.000000000000e+00
6.736842105263e-01,3.263157894737e-01,1.433211838460e-01,2.168212628009e-03,1.000000000000e+00
6.740183792815e-01,3.259816207185e-01,1.430838700123e-01,2.275971069585e-03,1.000000000000e+00
6.743525480368e-01,3.256474519632e-01,1.428458738516e-01,2.384146549723e-03,1.000000000000e+00
6.746867167920e-01,3.253132832080e-01,1.426071948044e-01,2.492739991136e-03,1.000000000000e+00
6.750208855472e-01,3.249791144528e-01,1.423678323107e-01,2.601752317752e-03,1.000000000000e+00
6.753550543024e-01,3.246449456976e-01,1.421277858109e-01,2.711184454715e-03,1.000000000000e+00
6.756892230576e-01,3.243107769424e-01,1.418870547453e-01,2.821037328384e-03,1.000000000000e+00
6.760233918129e-01,3.239766081871e-01,1.416456385541e-01,2.931311866336e-03,1.000000000000e+00
6.763575605681e-01,3.236424394319e-01,1.414035366775e-01,3.042008997362e-03,1.000000000000e+00
6.766917293233e-01,3.233082706767e-01,1.411607485558e-01,3.153129651476e-03,1.000000000000e+00
6.770258980785e-01,3.229741019215e-01,1.409172736292e-01,3.264674759907e-03,1.000000000000e+00
6.773600668338e-01,3.226399331662e-01,1.406731113381e-01,3.376645255105e-03,1.000000000000e+00
6.776942355890e-01,3.223057644110e-01,1.404282611227e-01,3.489042070741e-03,1.000000000000e+00
6.780284043442e-01,3.219715956558e-01,1.401827224232e-01,3.601866141705e-03,1.000000000000e+00
6.783625730994e-01,3.216374269006e-01,1.399364946799e-01,3.715118404111e-03,1.000000000000e+00
6.786967418546e-01,3.213032581454e-01,1.396895773331e-01,3.828799795294e-03,1.000000000000e+00
6.790309106099e-01,3.209690893901e-01,1.394419698229e-01,3.942911253815e-03,1.000000000000e+00
6.793650793651e-01,3.206349206349e-01,1.391936715897e-01,4.057453719457e-03,1.000000000000e+00
6.796992481203e-01,3.203007518797e-01,1.389446820738e-01,4.172428133226e-03,1.000000000000e+00
6.800334168755e-01,3.199665831245e-01,1.386950007153e-01,4.287835437359e-03,1.000000000000e+00
