regime,method,metric,value
pullin,DOP853_adaptive,tau_star,2.6225672472
pullin,DOP853_adaptive,xi_at_halt,0.99999610
pullin,DOP853_adaptive,overshoot_past_1,0
pullin,DOP853_adaptive,any_nonfinite,0
stable,PINN,xi_regular_l2,3.499383e-04
stable,PINN,xi_regular_linf,1.054010e-03
stable,PINN,xi_overall_l2,3.499383e-04
stable,PINN,xi_overall_linf,1.054010e-03
stable,PINN,xidot_regular_l2,2.238418e-04
stable,PINN,xidot_regular_linf,7.764596e-04
stable,PINN,xidot_overall_l2,2.238418e-04
stable,PINN,xidot_overall_linf,7.764596e-04
growing,PINN,xi_regular_l2,1.061080e-03
growing,PINN,xi_regular_linf,1.948927e-03
growing,PINN,xi_overall_l2,1.061080e-03
growing,PINN,xi_overall_linf,1.948927e-03
growing,PINN,xidot_regular_l2,4.146489e-04
growing,PINN,xidot_regular_linf,1.084284e-03
growing,PINN,xidot_overall_l2,4.146489e-04
growing,PINN,xidot_overall_linf,1.084284e-03
pullin,PINN,xi_regular_l2,3.204812e-04
pullin,PINN,xi_regular_linf,8.517058e-04
pullin,PINN,xi_near_l2,1.494124e-03
pullin,PINN,xi_near_linf,2.830489e-03
pullin,PINN,xi_overall_l2,5.615364e-04
pullin,PINN,xi_overall_linf,2.830489e-03
pullin,PINN,xidot_regular_l2,5.130606e-04
pullin,PINN,xidot_regular_linf,1.947557e-03
pullin,PINN,xidot_near_l2,1.040591e-02
pullin,PINN,xidot_near_linf,3.380182e-02
pullin,PINN,xidot_overall_l2,3.323732e-03
pullin,PINN,xidot_overall_linf,3.380182e-02
pullin,RK4_fixed_h=0.001,linf_xi_valid_best,5.269774e-11
pullin,RK4_fixed_h=0.001,overshoot_pole_best,1
pullin,RK4_fixed_h=0.05,linf_xi_valid_worst,7.599782e-05
pullin,RK4_fixed_h=0.05,overshoot_pole_worst,1
